sample_id,File Name,Img number,cell num,cell label,cell area,agg area,nuc area,jaccard,cell aspect ratio,cell circularity,agg aspect ratio,agg circularity
E3,E3_048plate3.tif,1,0,10,2085,409,349,0.19616306954436452,1.244,0.802,inf,0.159
E3,E3_048plate3.tif,1,1,106,2362,507,206,0.21464860287891618,2.234,0.527,2.982,0.204
E3,E3_048plate3.tif,1,2,184,3088,259,428,0.08387305699481866,1.936,0.712,inf,0.35366666666666663
E3,E3_048plate3.tif,1,3,319,3680,71,460,0.019293478260869565,1.168,0.82,inf,0.16533333333333333
E3,E3_048plate3.tif,1,4,398,878,18,192,0.02050113895216401,1.367,0.727,1.932,1.078
E3,E3_048plate3.tif,1,5,414,1126,155,308,0.13765541740674955,1.45,0.812,inf,8.722333333333333
E3,E3_048plate3.tif,1,6,423,1089,17,460,0.015610651974288337,1.125,0.872,inf,0.5105
E3,E3_048plate3.tif,1,7,457,1096,0,228,0.0,1.789,0.773,0.0,0.0
E3,E3_048plate3.tif,1,8,526,2069,117,165,0.05654905751570807,3.652,0.401,2.583666666666667,9.873666666666667
E3,E3_048plate3.tif,1,9,542,1125,34,519,0.030222222222222223,1.174,0.808,4.430250000000001,7.846
E3,E3_048plate3.tif,1,10,588,1236,52,247,0.042071197411003236,1.262,0.829,2.8310000000000004,0.8575
E3,E3_048plate3.tif,1,11,729,895,205,236,0.22905027932960895,1.635,0.833,2.6005,0.5385
E3,E3_048plate3.tif,1,12,761,2018,0,475,0.0,1.634,0.725,0.0,0.0
E3,E3_048plate3.tif,1,13,771,3648,791,210,0.2168311403508772,2.312,0.577,1.508,1.6744999999999999
E3,E3_048plate3.tif,1,14,795,1519,196,573,0.12903225806451613,1.231,0.803,inf,0.3045
E3,E3_048plate3.tif,1,15,824,798,122,151,0.15288220551378445,1.276,0.843,1.366,0.201
E3,E3_048plate3.tif,1,16,897,1531,328,357,0.21423905943827565,1.028,0.914,1.213,0.146
E3,E3_055plate2.tif,2,0,166,789,140,221,0.17743979721166034,1.116,0.918,1.887,0.325
E3,E3_055plate2.tif,2,1,208,1702,167,243,0.09811985898942421,1.627,0.713,inf,0.49300000000000005
E3,E3_055plate2.tif,2,2,220,1158,4,251,0.0034542314335060447,1.208,0.832,2.618,2.58
E3,E3_055plate2.tif,2,3,294,2595,325,207,0.1252408477842004,3.165,0.547,1.882,0.267
E3,E3_088plate1.tif,3,0,67,677,229,183,0.33825701624815363,1.267,0.792,inf,0.1165
E3,E3_088plate1.tif,3,1,82,466,67,276,0.14377682403433475,1.665,0.645,1.734,0.596
E3,E3_088plate1.tif,3,2,228,602,195,82,0.3239202657807309,1.463,0.802,inf,0.6213333333333334
E3,E3_088plate1.tif,3,3,231,664,98,129,0.14759036144578314,1.479,0.814,3.352,0.595
E3,E3_088plate1.tif,3,4,233,809,125,74,0.15451174289245984,1.452,0.741,1.442,0.364
E3,E3_088plate1.tif,3,5,240,529,23,5,0.043478260869565216,1.183,0.778,1.684,1.064
E3,E3_088plate1.tif,3,6,306,426,171,83,0.4014084507042254,1.009,0.922,inf,0.3145
E3,E3_088plate1.tif,3,7,338,316,79,80,0.25,1.247,0.913,1.422,0.639
E3,E3_088plate1.tif,3,8,339,1234,391,217,0.31685575364667745,1.867,0.643,inf,0.0308
E3,E3_088plate1.tif,3,9,350,985,257,102,0.2609137055837564,1.28,0.853,inf,0.0965
