image_id,sample_id,image_number,cell_label,centroid_row,centroid_column,radial_bin,radius_start,radius_end,section_size_pixels,aggregate_pixels,aggregate_present,aggregate_fraction,aggregate_share,intensity_sum,intensity_mean,intensity_share,cumulative_normalized_intensity
E3_048plate3.tif,E3,1,0,90.73352435530086,168.3323782234957,0,0.0,0.1,9,9,True,1.0,0.022004889975550123,23646.0,2627.3333333333335,0.036443162167910416,0.036443162167910416
E3_048plate3.tif,E3,1,0,90.73352435530086,168.3323782234957,1,0.1,0.2,38,37,True,0.9736842105263158,0.09046454767726161,67845.0,1833.6486486486488,0.10456256184056001,0.14100572400847042
E3_048plate3.tif,E3,1,0,90.73352435530086,168.3323782234957,2,0.2,0.3,87,66,True,0.7586206896551724,0.16136919315403422,144233.0,2185.348484848485,0.22229157612129843,0.36329730012976885
E3_048plate3.tif,E3,1,0,90.73352435530086,168.3323782234957,3,0.3,0.4,118,71,True,0.6016949152542372,0.17359413202933985,110455.0,1555.7042253521126,0.1702329982769409,0.5335302984067097
E3_048plate3.tif,E3,1,0,90.73352435530086,168.3323782234957,4,0.4,0.5,159,62,True,0.389937106918239,0.15158924205378974,91597.0,1477.3709677419354,0.14116909097073882,0.6746993893774486
E3_048plate3.tif,E3,1,0,90.73352435530086,168.3323782234957,5,0.5,0.6,209,58,True,0.27751196172248804,0.14180929095354522,85327.0,1471.155172413793,0.13150578103278743,0.806205170410236
E3_048plate3.tif,E3,1,0,90.73352435530086,168.3323782234957,6,0.6,0.7,251,70,True,0.2788844621513944,0.17114914425427874,85781.0,1225.442857142857,0.1322054848145785,0.9384106552248145
E3_048plate3.tif,E3,1,0,90.73352435530086,168.3323782234957,7,0.7,0.8,308,35,True,0.11363636363636363,0.08557457212713937,39112.0,1117.4857142857143,0.06027932668152381,0.9986899819063383
E3_048plate3.tif,E3,1,0,90.73352435530086,168.3323782234957,8,0.8,0.9,385,1,True,0.0025974025974025974,0.0024449877750611247,850.0,850.0,0.00131001809366167,1.0
E3_048plate3.tif,E3,1,0,90.73352435530086,168.3323782234957,9,0.9,1.0,521,0,False,0.0,0.0,0.0,0.0,0.0,1.0
E3_048plate3.tif,E3,1,1,610.257281553398,1742.611650485437,0,0.0,0.1,8,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_048plate3.tif,E3,1,1,610.257281553398,1742.611650485437,1,0.1,0.2,34,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_048plate3.tif,E3,1,1,610.257281553398,1742.611650485437,2,0.2,0.3,58,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_048plate3.tif,E3,1,1,610.257281553398,1742.611650485437,3,0.3,0.4,92,16,True,0.17391304347826086,0.03155818540433925,16734.0,1045.875,0.016430850802690362,0.016430850802690362
E3_048plate3.tif,E3,1,1,610.257281553398,1742.611650485437,4,0.4,0.5,135,68,True,0.5037037037037037,0.1341222879684418,107811.0,1585.4558823529412,0.1058579213510727,0.12228877215376308
E3_048plate3.tif,E3,1,1,610.257281553398,1742.611650485437,5,0.5,0.6,181,126,True,0.6961325966850829,0.2485207100591716,272355.0,2161.5476190476193,0.26742108105454365,0.38970985320830676
E3_048plate3.tif,E3,1,1,610.257281553398,1742.611650485437,6,0.6,0.7,241,147,True,0.6099585062240664,0.28994082840236685,340797.0,2318.3469387755104,0.33462320192449313,0.7243330551327999
E3_048plate3.tif,E3,1,1,610.257281553398,1742.611650485437,7,0.7,0.8,344,116,True,0.3372093023255814,0.22879684418145957,229878.0,1981.7068965517242,0.22571358436840297,0.9500466395012028
E3_048plate3.tif,E3,1,1,610.257281553398,1742.611650485437,8,0.8,0.9,503,32,True,0.0636182902584493,0.0631163708086785,49166.0,1536.4375,0.04827532033973195,0.9983219598409347
E3_048plate3.tif,E3,1,1,610.257281553398,1742.611650485437,9,0.9,1.0,766,2,True,0.0026109660574412533,0.0039447731755424065,1709.0,854.5,0.0016780401590652462,1.0
E3_048plate3.tif,E3,1,2,833.4509345794393,720.2149532710281,0,0.0,0.1,13,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_048plate3.tif,E3,1,2,833.4509345794393,720.2149532710281,1,0.1,0.2,44,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_048plate3.tif,E3,1,2,833.4509345794393,720.2149532710281,2,0.2,0.3,91,5,True,0.054945054945054944,0.019305019305019305,4947.0,989.4,0.014204374154757905,0.014204374154757905
E3_048plate3.tif,E3,1,2,833.4509345794393,720.2149532710281,3,0.3,0.4,143,18,True,0.1258741258741259,0.0694980694980695,20747.0,1152.611111111111,0.05957108360395437,0.07377545775871228
E3_048plate3.tif,E3,1,2,833.4509345794393,720.2149532710281,4,0.4,0.5,212,53,True,0.25,0.20463320463320464,65631.0,1238.3207547169811,0.1884469941683679,0.26222245192708016
E3_048plate3.tif,E3,1,2,833.4509345794393,720.2149532710281,5,0.5,0.6,313,138,True,0.44089456869009586,0.5328185328185329,202852.0,1469.9420289855072,0.5824511231131899,0.8446735750402701
